sample	group	value
S01	A	1.21
S02	A	1.35
S03	A	1.18
S04	A	1.42
S05	A	1.27
S06	A	1.31
S07	A	1.24
S08	A	1.39
S09	A	1.16
S10	A	1.28
S11	A	1.33
S12	A	1.22
S13	A	1.41
S14	A	1.26
S15	A	1.19
S16	A	1.37
S17	A	1.29
S18	A	1.32
S19	A	1.25
S20	A	1.38
S21	B	2.01
S22	B	2.14
S23	B	1.96
S24	B	2.22
S25	B	2.08
S26	B	2.17
S27	B	2.05
S28	B	2.26
S29	B	1.93
S30	B	2.11
S31	B	2.18
S32	B	2.07
S33	B	2.24
S34	B	2.02
S35	B	1.98
S36	B	2.19
S37	B	2.09
S38	B	2.13
S39	B	2.04
S40	B	2.21
S41	C	1.62
S42	C	1.55
S43	C	1.71
S44	C	1.66
S45	C	1.58
S46	C	1.69
S47	C	1.64
S48	C	1.73
S49	C	1.57
S50	C	1.68
S51	C	1.61
S52	C	1.74
S53	C	1.63
S54	C	1.56
S55	C	1.72
S56	C	1.65
S57	C	1.59
S58	C	1.67
S59	C	1.60
S60	C	1.70
