gene	log2FC	padj
TP53	-2.8	0.00005
EGFR	1.6	0.002
MYC	1.2	0.008
KRAS	1.9	0.0009
DCAF1	-1.4	0.015
VPRBP	-1.3	0.018
CDK2	0.4	0.35
BRAF	2.1	0.0006
MAPK1	1.1	0.012
MAPK3	0.9	0.025
AKT1	1.3	0.007
AKT2	0.8	0.04
PIK3CA	1.7	0.0015
PIK3CB	0.7	0.03
PTEN	-1.8	0.003
RB1	-1.5	0.009
CDKN1A	-0.9	0.028
CDKN2A	-1.6	0.004
MDM2	1.4	0.006
CCND1	1.8	0.001
CCNE1	1.2	0.011
CDK4	1.5	0.005
CDK6	1.1	0.017
E2F1	1.0	0.02
E2F3	1.3	0.009
BRCA1	-1.1	0.014
BRCA2	-0.8	0.04
ATM	-1.0	0.022
ATR	-0.7	0.05
CHEK1	-0.9	0.03
CHEK2	-1.0	0.026
PARP1	0.6	0.045
RAD51	-1.2	0.013
FANCD2	-1.3	0.01
SMARCA4	-0.6	0.08
ARID1A	-1.4	0.012
EP300	-1.7	0.003
CREBBP	-1.5	0.005
KMT2D	-1.1	0.019
EZH2	1.3	0.007
SUZ12	0.9	0.021
EED	0.8	0.034
HDAC1	1.0	0.018
HDAC2	1.1	0.014
HDAC3	0.7	0.041
SIRT1	0.5	0.09
CTNNB1	1.6	0.0025
APC	-1.8	0.002
GSK3B	-0.9	0.027
SMAD4	-1.2	0.011
TGFBR2	-1.0	0.024
STAT3	1.4	0.006
JAK1	1.1	0.015
JAK2	1.0	0.017
SOCS3	-0.7	0.052
NFKB1	1.2	0.01
RELA	1.3	0.008
IKBKB	1.0	0.02
CASP8	-1.1	0.016
BCL2	1.5	0.004
BAX	-1.0	0.023
MCL1	1.4	0.006
BID	-0.8	0.039
FOS	1.7	0.0018
JUN	1.5	0.0032
ELK1	0.9	0.026
ETS1	0.8	0.031
SOX2	1.6	0.002
NANOG	1.4	0.0045
POU5F1	1.3	0.0065
KLF4	1.0	0.019
ZEB1	1.2	0.013
SNAI1	1.4	0.005
VIM	1.1	0.014
CDH1	-1.5	0.007
EPCAM	-0.9	0.028
ITGB1	0.8	0.033
ITGA6	0.9	0.024
CXCR4	1.2	0.012
MET	1.5	0.004
ERBB2	1.8	0.0012
FGFR1	1.3	0.009
FGFR2	1.0	0.02
PDGFRA	0.9	0.023
KIT	0.8	0.036
ALK	1.6	0.002
ROS1	1.2	0.011
RET	1.1	0.015
SRC	1.0	0.02
ABL1	0.7	0.04
HSP90AA1	0.6	0.048
PSMB5	0.5	0.07
UBE2I	0.4	0.12
RPL3	0.1	0.6
RPL5	-0.2	0.5
RPS6	0.3	0.42
GAPDH	0.0	0.95
ACTB	0.1	0.7
TUBB	-0.1	0.8
HPRT1	0.2	0.55
EEF2	-0.2	0.48
