gene_column	correlation	gene_symbol
ERVV-2 (100271846)	0.8435566852898434	ERVV-2
POLR2J2 (246721)	0.7773498293191734	POLR2J2
CDKN1A (1026)	0.6959736624525177	CDKN1A
TP53BP1 (7158)	0.6868628094703324	TP53BP1
USP28 (57646)	0.6569495277852281	USP28
CHEK2 (11200)	0.628121077568217	CHEK2
GTF2IRD2 (84163)	0.6216333216366985	GTF2IRD2
GTF2IRD2B (389524)	0.6163532403178471	GTF2IRD2B
PRAMEF27 (101929983)	0.5949893552692717	PRAMEF27
ERVV-1 (147664)	0.5889201113843436	ERVV-1
ATM (472)	0.5830401315183462	ATM
NOMO3 (408050)	0.4685374180339713	NOMO3
XPO7 (23039)	0.4296645887030693	XPO7
GTPBP6 (8225)	0.42641665675333995	GTPBP6
PIEZO2 (63895)	0.4181251641097821	PIEZO2
FOXD4L1 (200350)	0.3850872675941325	FOXD4L1
DNAH8 (1769)	0.3819684137632645	DNAH8
TBC1D3E (102723859)	0.38182411259572	TBC1D3E
TMEM191B (728229)	0.37827660147159353	TMEM191B
CCDC6 (8030)	0.3715644079541862	CCDC6
