lineage	median	mean	count
Muscle	6.6245394	6.29613978	5
	6.2680626	6.017609383333333	12
Lymphoid	6.1180606	5.888727542408377	191
Pleura	5.966741	5.368680481818182	22
Myeloid	5.78057075	5.3089758775	80
CNS/Brain	5.7418876	5.560489446710281	107
Hair	5.6767005	5.6767005	2
Esophagus/Stomach	5.5994095	5.321696941511628	86
Cervix	5.557176999999999	5.446452581818182	22
Thyroid	5.541182	4.945163463636363	22
Bowel	5.515022	5.0036126103448275	87
Peripheral Nervous System	5.5052114	5.220945431914894	47
Bladder/Urinary Tract	5.4955165	5.081898484210527	38
Biliary Tract	5.48631125	5.191123363043478	46
Testis	5.4340291	5.09916343	10
Uterus	5.40607855	5.290566536363636	44
Adrenal Gland	5.3938637499999995	5.3938637499999995	2
Prostate	5.3464746	5.060622723076923	13
Kidney	5.340587	5.2268572150943395	53
Breast	5.31954	4.998764027777778	72
Embryonal	5.259348	5.259348	1
Soft Tissue	5.2576251	4.6666660144565215	92
Bone	5.25641615	4.568986260428571	70
Ovary/Fallopian Tube	5.168975	4.841444817910448	67
Lung	5.1556105	4.892196297297297	222
Liver	5.1377805	4.824710646428572	28
Eye	5.131726499999999	5.038170904166667	24
Head and Neck	5.0668125	4.633420601298702	77
Pancreas	4.9954214	4.744310766666667	57
Skin	4.993225750000001	4.845662947460317	126
Other	4.9285693	4.9285693	1
Fibroblast	4.7468359499999995	4.7520432928571426	42
Vulva/Vagina	4.2326295	4.2326295	2
Ampulla of Vater	3.4641063	3.16759773	5
