ModelID	cell_line	expression	lineage
ACH-002643	GRANTA-452	8.101655	Lymphoid
ACH-000124	OCI-LY-19	7.8655105	Lymphoid
ACH-001192	SK-NEP-1	7.8408284	Bone
ACH-000656	SU-DHL-8	7.782926	Lymphoid
ACH-001106	KOPN-8	7.743831	Lymphoid
ACH-000780	NCI-H1105	7.6514535	Lung
ACH-000211	Daoy	7.604516	CNS/Brain
ACH-003590	YCUB-2	7.5798965	Lymphoid
ACH-000130	NALM-19	7.512622	Lymphoid
ACH-000953	SUP-T1	7.4413505	Lymphoid
ACH-000877	EB1	7.4287286	Lymphoid
ACH-000662	COR-L23	7.4269943	Lung
ACH-000738	GB-1	7.4229813	CNS/Brain
ACH-000461	SNU-1196	7.409968	Biliary Tract
ACH-000292	NCI-H841	7.409527	Lung
ACH-003307	Het-1A	7.389739	
ACH-000865	KYSE-450	7.378919	Esophagus/Stomach
ACH-000717	COLO-680N	7.371498	Esophagus/Stomach
ACH-000655	SF268	7.3591256	CNS/Brain
ACH-000287	NU-DUL-1	7.3562407	Lymphoid
