gene_column	correlation	gene_symbol
PRPF8 (10594)	0.3585897087754061	PRPF8
WRAP53 (55135)	0.34672262944668925	WRAP53
GEMIN4 (50628)	0.34655770123963153	GEMIN4
NUP88 (4927)	0.3349781519993372	NUP88
PELP1 (27043)	0.3307186421585404	PELP1
CTDNEP1 (23399)	0.32609936924613425	CTDNEP1
CTC1 (80169)	0.32542111427341147	CTC1
DHX33 (56919)	0.32097424883854386	DHX33
DVL2 (1856)	0.3205492909092995	DVL2
METTL16 (79066)	0.31866290670480746	METTL16
RPA1 (6117)	0.3178201133048812	RPA1
NEURL4 (84461)	0.31727072989696303	NEURL4
GLOD4 (51031)	0.3163958302300444	GLOD4
MRM3 (55178)	0.3153502993016032	MRM3
SENP3 (26168)	0.31488067499181477	SENP3
NCBP3 (55421)	0.3147004457286595	NCBP3
MYBBP1A (10514)	0.3126069079595988	MYBBP1A
FXR2 (9513)	0.31219198457178327	FXR2
TCF3 (6929)	0.3102668569261551	TCF3
ARRB2 (409)	0.3098131205551629	ARRB2
