lineage	median	mean	count
	1.1538063155223566	1.1586625399528219	8
Vulva/Vagina	1.024810817712171	1.024810817712171	2
Head and Neck	1.0134989273489858	1.030218326752036	48
Eye	1.01215992244388	0.9834700224353272	18
Lymphoid	1.0117695318574047	0.8868531242635356	119
Soft Tissue	1.0078630367959711	0.9183651161863704	60
Prostate	1.0054958429165977	0.9514110631751311	6
Other	1.0049208599445318	1.0049208599445318	1
Fibroblast	1.0038955713975308	1.0664669363337456	4
Cervix	1.0030233054732856	0.9478565696485532	8
CNS/Brain	1.0003473409092931	0.9813927463683476	73
Kidney	0.9994392029962867	0.9996565513325015	35
Uterus	0.9886396685566604	0.9874031393538386	29
Bone	0.9569511433752165	0.847710435679336	62
Skin	0.9545862097295268	0.9350527286190474	77
Thyroid	0.9463572723509697	0.9498175215254785	10
Esophagus/Stomach	0.9069921692237326	0.9122405188881704	51
Peripheral Nervous System	0.8965608798099154	0.8067694315290519	40
Lung	0.8914680512068057	0.8912132904508353	151
Pleura	0.8863614244585509	0.8089280633918713	15
Myeloid	0.880732616588503	0.798837590945208	57
Testis	0.8785071906705485	0.9423764195943198	9
Liver	0.8753773739797704	0.8913088342172033	23
Ovary/Fallopian Tube	0.8749400054547048	0.8690061365933153	45
Bowel	0.8617462694600724	0.8503594278460476	56
Bladder/Urinary Tract	0.8585026186728935	0.8856203120323043	20
Biliary Tract	0.8371107134391056	0.7873319290343358	10
Breast	0.8159476329954956	0.9112421646705438	56
Pancreas	0.7701183880441868	0.8058878715844034	34
Ampulla of Vater	0.74147399477769	0.7011544564312636	3
Adrenal Gland	0.6123875479845962	0.6123875479845962	2
