ModelID	cell_line	copy_number	copy_number_status	lineage
ACH-000573	MDA-MB-436	3.2998032347217143	amplified	Breast
ACH-000292	NCI-H841	2.2466571818400816	amplified	Lung
ACH-002074	Lu-143	1.6427443725733384	amplified	Lung
ACH-000807	SNU-738	1.613020752759001	amplified	CNS/Brain
ACH-000727	NCI-H2066	1.5981867514100607	amplified	Lung
ACH-000029	HCC-827-GR5	1.5854100204848995	amplified	Lung
ACH-000524	KURAMOCHI	1.5525997926524986	amplified	Ovary/Fallopian Tube
ACH-003296	T/C28a2	1.5378768714392217	amplified	
ACH-002067	NOS-1	1.524196597596785	amplified	Bone
ACH-003071	NCI-H748	1.50561509768465	amplified	Lung
ACH-000366	SK-N-DZ	1.5001887204409123	amplified	Peripheral Nervous System
ACH-001300	CHLA-15	1.4953746692774896	amplified	Peripheral Nervous System
ACH-000841	NCI-H2087	1.4925073125481134	amplified	Lung
ACH-003012	A549_CRAF_KD	1.491942567550418	amplified	Lung
ACH-000975	HCC2450	1.4682798825709846	amplified	Lung
ACH-000736	SNU-601	1.4671852089904338	amplified	Esophagus/Stomach
ACH-002400	21MT-1	1.462363533576838	amplified	Breast
ACH-001702	VA-ES-BJ	1.445717830259105	amplified	Soft Tissue
ACH-000651	SW 620	1.4351156476352072	amplified	Bowel
ACH-000500	SNU-46	1.4344503165911342	amplified	Head and Neck
