ModelID	cell_line	copy_number	copy_number_status	lineage
ACH-003191	NRH-GCT2	1.7105598340351362e-06	neutral	Bone
ACH-003187	NRH-UPS4	1.7105598340351362e-06	neutral	Soft Tissue
ACH-003190	NRH-UPS7	1.7105598340351362e-06	neutral	Soft Tissue
ACH-000793	KATO III	3.876806071508455e-06	neutral	Esophagus/Stomach
ACH-000410	Saos-2	6.567155285651522e-06	neutral	Bone
ACH-001611	NP 8	8.085676978494977e-06	neutral	CNS/Brain
ACH-002799	NCC-MPNST1-C1	3.1279999171577944e-05	neutral	Peripheral Nervous System
ACH-002689	OS525	3.206591276425877e-05	neutral	Bone
ACH-000319	MPP 89	5.3555712749752906e-05	neutral	Pleura
ACH-000714	KMS-11	6.68784065671647e-05	neutral	Lymphoid
ACH-003184	NRH-LMS2	0.0004489056889525	neutral	Soft Tissue
ACH-000511	Calu-1	0.0007804533385906	neutral	Lung
ACH-002785	NCC-LMS1-C1	0.000782186360763	neutral	Soft Tissue
ACH-000641	CMK	0.0010316719411941	neutral	Myeloid
ACH-000760	LNZ308	0.0010800171971567	neutral	CNS/Brain
ACH-001036	CMK-11-5	0.0011109503058382	neutral	Myeloid
ACH-002834	OS384	0.0026652378455061	neutral	Bone
ACH-003587	531MII	0.0043672172014943	neutral	Bone
ACH-000417	Panc 08.13	0.0089353502697019	neutral	Pancreas
ACH-000910	MDA-MB-453	0.0108857906010374	neutral	Breast
