lineage	median	mean	count
Adrenal Gland	-0.0758005569253773	-0.0758005569253773	1
Other	-0.0714980690670425	-0.0714980690670425	1
Head and Neck	0.1185214165587485	0.14502463819388517	77
Myeloid	0.1426562622448589	0.24129348100454012	45
Ampulla of Vater	0.1614039788601287	0.20620029611276447	5
Esophagus/Stomach	0.1682378419111155	0.23796345387721585	69
Uterus	0.1713228123335383	0.3137792502559417	34
Fibroblast	0.1753080622731283	0.1753080622731283	1
Lung	0.18271950045833046	0.2510257454973682	126
Breast	0.1892846175487715	0.21412251876269825	53
Pancreas	0.19791690042811388	0.23611064944028717	48
Bone	0.20717089803020883	0.4076593869393765	58
Thyroid	0.2078204845366366	0.26256642123104523	11
Bowel	0.2095485039085044	0.2589269118815485	63
Bladder/Urinary Tract	0.2190279841093778	0.3238750733419843	34
Liver	0.2559016940467992	0.34369979090587127	25
CNS/Brain	0.2619391384554043	0.5384550333673969	91
Prostate	0.26613601710041324	0.39907859440026316	10
Biliary Tract	0.2907748126561309	0.5903581881240232	34
Ovary/Fallopian Tube	0.3081083147758003	0.5387781922471195	59
Testis	0.3098926227919476	0.576898000434599	5
Cervix	0.34517534186977095	0.27584845230879806	18
Lymphoid	0.34588697000174523	0.3520110047578318	96
Peripheral Nervous System	0.3688391768108567	0.5106909414653127	47
Soft Tissue	0.4274364249292555	0.6985453500287871	49
Skin	0.7312617477913815	0.7577855735762347	75
Vulva/Vagina	0.7799994048300346	0.7799994048300346	2
Pleura	0.8097483837940606	0.9261023453156463	21
Kidney	1.0722570859076557	1.138931102560926	35
Eye	1.6128654838465173	1.536918753342969	15
