Unnamed: 0	cell_line	essentiality	lineage
ACH-002030	Sa3	-0.9244167640896424	Head and Neck
ACH-000374	HCC1143	-0.7879641581076915	Breast
ACH-002664	JVE-253	-0.677214506818612	Bowel
ACH-000294	NB-4	-0.5871697307151535	Myeloid
ACH-001310	HA1E	-0.5146999154606906	Kidney
ACH-000890	SW 1271	-0.4770542664269599	Lung
ACH-001715	CAL-72	-0.4389545951365854	Bone
ACH-001322	CME-1	-0.4021918951130521	Soft Tissue
ACH-000263	KASUMI-1	-0.3515371159565127	Myeloid
ACH-000197	TALL-1	-0.3193164658294095	Lymphoid
ACH-000402	BL-70	-0.2953154845370933	Lymphoid
ACH-000605	TE-6	-0.289001941328774	Esophagus/Stomach
ACH-000277	HCC1419	-0.2878333243299579	Breast
ACH-000030	PC-14	-0.2859123893716342	Lung
ACH-002280	NB13	-0.2756768159353406	Peripheral Nervous System
ACH-001409	UM-UC-16	-0.2720471588686493	Bladder/Urinary Tract
ACH-000426	KMS-20	-0.2671835607542029	Lymphoid
ACH-002294	PCI-15A	-0.2510399941676912	Head and Neck
ACH-000281	KP-2	-0.2478784662782178	Pancreas
ACH-000295	EM-2	-0.2439878079711578	Myeloid
