mutation_type	count
missense_variant	1367
frameshift_variant	231
stop_gained	228
splice_acceptor_variant	84
splice_donor_variant	58
inframe_deletion	41
missense_variant&splice_region_variant	32
splice_region_variant&synonymous_variant	31
stop_gained&splice_region_variant	16
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	10
splice_acceptor_variant&coding_sequence_variant&intron_variant	10
frameshift_variant&splice_region_variant	6
inframe_insertion	6
splice_donor_variant&coding_sequence_variant	5
stop_gained&protein_altering_variant	3
stop_gained&frameshift_variant	3
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	3
splice_acceptor_variant&coding_sequence_variant	2
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_acceptor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	1
