gene_symbol	gencode_id	tissue	expression	rank_within_gene
TP53	ENSG00000141510.16	Cells_EBV-transformed_lymphocytes	72.9493	1
TP53	ENSG00000141510.16	Skin_Sun_Exposed_Lower_leg	36.9609	2
TP53	ENSG00000141510.16	Skin_Not_Sun_Exposed_Suprapubic	35.1604	3
TP53	ENSG00000141510.16	Cells_Cultured_fibroblasts	32.8729	4
TP53	ENSG00000141510.16	Ovary	32.4273	5
TP53	ENSG00000141510.16	Cervix_Endocervix	29.5011	6
TP53	ENSG00000141510.16	Uterus	29.4997	7
TP53	ENSG00000141510.16	Cervix_Ectocervix	28.4806	8
TP53	ENSG00000141510.16	Fallopian_Tube	28.1616	9
TP53	ENSG00000141510.16	Spleen	26.5931	10
TP53	ENSG00000141510.16	Esophagus_Mucosa	25.8356	11
TP53	ENSG00000141510.16	Vagina	25.291999999999998	12
TP53	ENSG00000141510.16	Breast_Mammary_Tissue	24.5574	13
TP53	ENSG00000141510.16	Nerve_Tibial	24.1618	14
TP53	ENSG00000141510.16	Bladder	23.7659	15
TP53	ENSG00000141510.16	Adipose_Subcutaneous	22.459	16
TP53	ENSG00000141510.16	Artery_Tibial	20.534000000000002	17
TP53	ENSG00000141510.16	Prostate	20.3002	18
TP53	ENSG00000141510.16	Artery_Coronary	19.7309	19
TP53	ENSG00000141510.16	Thyroid	19.6631	20
TP53	ENSG00000141510.16	Minor_Salivary_Gland	18.8346	21
TP53	ENSG00000141510.16	Artery_Aorta	18.4817	22
TP53	ENSG00000141510.16	Small_Intestine_Terminal_Ileum	18.4164	23
TP53	ENSG00000141510.16	Adipose_Visceral_Omentum	17.8035	24
TP53	ENSG00000141510.16	Colon_Transverse	17.1983	25
TP53	ENSG00000141510.16	Lung	16.9199	26
TP53	ENSG00000141510.16	Testis	14.8261	27
TP53	ENSG00000141510.16	Colon_Sigmoid	14.5413	28
TP53	ENSG00000141510.16	Esophagus_Gastroesophageal_Junction	14.1948	29
TP53	ENSG00000141510.16	Adrenal_Gland	13.5	30
TP53	ENSG00000141510.16	Kidney_Medulla	13.012	31
TP53	ENSG00000141510.16	Stomach	12.6336	32
TP53	ENSG00000141510.16	Esophagus_Muscularis	12.5044	33
TP53	ENSG00000141510.16	Pituitary	8.45352	34
TP53	ENSG00000141510.16	Whole_Blood	7.6981	35
TP53	ENSG00000141510.16	Pancreas	7.118010000000001	36
TP53	ENSG00000141510.16	Liver	6.86862	37
TP53	ENSG00000141510.16	Kidney_Cortex	5.9639999999999995	38
TP53	ENSG00000141510.16	Heart_Atrial_Appendage	5.80175	39
TP53	ENSG00000141510.16	Muscle_Skeletal	5.44301	40
TP53	ENSG00000141510.16	Brain_Spinal_cord_cervical_c-1	4.16092	41
TP53	ENSG00000141510.16	Brain_Caudate_basal_ganglia	4.022469999999999	42
TP53	ENSG00000141510.16	Brain_Substantia_nigra	3.8935199999999996	43
TP53	ENSG00000141510.16	Heart_Left_Ventricle	3.67865	44
TP53	ENSG00000141510.16	Brain_Amygdala	3.66265	45
TP53	ENSG00000141510.16	Brain_Cortex	3.65122	46
TP53	ENSG00000141510.16	Brain_Nucleus_accumbens_basal_ganglia	3.37169	47
TP53	ENSG00000141510.16	Brain_Putamen_basal_ganglia	3.32102	48
TP53	ENSG00000141510.16	Brain_Hypothalamus	3.1548599999999998	49
TP53	ENSG00000141510.16	Brain_Anterior_cingulate_cortex_BA24	3.13225	50
TP53	ENSG00000141510.16	Brain_Frontal_Cortex_BA9	2.90659	51
TP53	ENSG00000141510.16	Brain_Hippocampus	2.7105599999999996	52
TP53	ENSG00000141510.16	Brain_Cerebellum	2.44665	53
TP53	ENSG00000141510.16	Brain_Cerebellar_Hemisphere	2.02662	54
