project_id	cancer_type	median_expression	mean_expression	num_cases
TCGA-UCEC	UCEC	30.2141	30.6740617594255	557
TCGA-OV	OV	27.1027	27.814660398126467	427
TCGA-DLBC	DLBC	24.7239	25.340137499999997	48
TCGA-THYM	THYM	24.3413	23.1039525	120
TCGA-READ	READ	23.2974	24.025631736526947	167
TCGA-COAD	COAD	23.083599999999997	22.73087532751092	458
TCGA-UVM	UVM	21.07255	22.74674	80
TCGA-MESO	MESO	19.6323	20.497185057471267	87
TCGA-UCS	UCS	19.4056	21.33943333333334	57
TCGA-LAML	LAML	19.2284	19.370670198675498	151
TCGA-CESC	CESC	17.874200000000002	18.982471052631578	304
TCGA-TGCT	TGCT	17.4097	18.13113466666667	150
TCGA-STAD	STAD	16.3169	17.711351566265062	415
TCGA-BLCA	BLCA	16.0898	16.62418448275862	406
TCGA-CHOL	CHOL	15.7272	17.42004722222222	36
TCGA-SKCM	SKCM	15.4702	16.473203624733475	469
TCGA-BRCA	BRCA	14.725	15.853243196347032	1095
TCGA-ESCA	ESCA	14.2457	15.898067391304348	184
TCGA-LUSC	LUSC	13.6772	15.49376886227545	501
TCGA-GBM	GBM	13.0334	14.308804436860068	293
TCGA-PRAD	PRAD	12.9222	13.109146076458753	497
TCGA-LUAD	LUAD	12.1125	12.757930115830115	518
TCGA-KIRP	KIRP	11.9607	12.87910172413793	290
TCGA-HNSC	HNSC	11.8049	13.729548176583494	521
TCGA-LGG	LGG	10.62275	10.84038972868217	516
TCGA-SARC	SARC	10.3521	10.973414285714286	259
TCGA-KIRC	KIRC	10.1762	10.52353583489681	533
TCGA-THCA	THCA	10.1213	10.524093069306929	505
TCGA-PAAD	PAAD	9.293	9.727097191011236	178
TCGA-LIHC	LIHC	8.0448	8.696199460916443	371
TCGA-ACC	ACC	7.9083	8.380701265822786	79
TCGA-KICH	KICH	4.9860500000000005	5.184416666666667	66
TCGA-PCPG	PCPG	4.9606	5.2163731843575425	179
