Term_clean	Adjusted P-value	minus_log10_fdr	Overlap	Hit_Count	Bg_Count	Gene_Ratio	Combined Score	Genes
Cellular Response To Ionizing Radiation	1.392815822968965e-12	11.856106308096157	7/52	7	52	0.1346153846153846	12924.043742789368	CDKN1A;RAD51;MDM2;BRCA1;BRCA2;TP53;ATR
Mitotic DNA Damage Checkpoint Signaling	1.392815822968965e-12	11.856106308096157	7/56	7	56	0.125	11671.27864628973	CDKN1A;FANCD2;CHEK2;CHEK1;ATM;BRCA1;TP53
Response To Ionizing Radiation	5.865293884048191e-12	11.231710222419236	7/72	7	72	0.09722222222222222	8297.028694485041	CDKN1A;RAD51;FANCD2;ATM;BRCA1;BRCA2;TP53
DNA Repair	1.4428166830329457e-11	10.840788844654714	9/291	9	291	0.030927835051546393	3118.260557241096	RAD51;FANCD2;CHEK2;CHEK1;ATM;BRCA1;BRCA2;TP53;ATR
DNA Damage Response	1.407496333443761e-10	9.851552727820998	9/384	9	384	0.0234375	2137.68960278071	CDKN1A;RAD51;CHEK2;CHEK1;BAX;ATM;BRCA1;TP53;ATR
Regulation Of Cell Cycle	1.0442859793084011e-09	8.981180552839552	8/298	8	298	0.026845637583892617	1945.5258181244467	RB1;CDKN1A;CDKN2A;CHEK1;MDM2;ATM;BRCA1;TP53
DNA Damage Response, Signal Transduction By P53 Class Mediator	2.8863675906995587e-09	8.539648360544529	5/36	5	36	0.1388888888888889	7690.432834562435	CDKN1A;CHEK2;MDM2;ATM;TP53
Intrinsic Apoptotic Signaling Pathway	5.257214591402483e-09	8.279244295387914	6/105	6	105	0.05714285714285714	3101.7027226799055	CDKN1A;CHEK2;BAX;ATM;BRCA1;TP53
Cellular Response To Radiation	1.0146012504488624e-08	7.993704606770531	5/48	5	48	0.10416666666666667	5191.158739236292	CDKN1A;RAD51;BRCA1;BRCA2;TP53
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage	1.0164850935160385e-08	7.9928989857924915	5/49	5	49	0.10204081632653061	5048.628180176523	CHEK2;BAX;ATM;BRCA1;TP53
Signal Transduction In Response To DNA Damage	1.9463279960303338e-08	7.71078397040745	5/57	5	57	0.08771929824561403	4120.0884740797765	CHEK2;CHEK1;ATM;TP53;ATR
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest	1.9463279960303338e-08	7.71078397040745	4/17	4	17	0.23529411764705882	11981.95625547104	CDKN1A;CHEK2;MDM2;TP53
Response To Gamma Radiation	5.5099134874800744e-08	7.258855220060189	4/22	4	22	0.18181818181818182	8199.429018039249	FANCD2;MDM2;TP53;ATR
Mitotic G1 DNA Damage Checkpoint Signaling	1.0438252766742373e-07	6.9813721907271304	4/26	4	26	0.15384615384615385	6472.001405737467	CDKN1A;CHEK2;MDM2;TP53
Mitotic G2 DNA Damage Checkpoint Signaling	1.782760142362053e-07	6.748907084113415	4/30	4	30	0.13333333333333333	5306.533318594195	CDKN1A;CHEK1;ATM;BRCA1
