Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Biological_Process_2023	Cellular Response To Ionizing Radiation (GO:0071479)	7/52	3.3384989539877813e-15	1.392815822968965e-12	0	0	387.72222222222223	12924.043742789368	CDKN1A;RAD51;MDM2;BRCA1;BRCA2;TP53;ATR	7	52	0.1346153846153846	11.856106308096157	Cellular Response To Ionizing Radiation	Cellular Response To Ionizing Radiation
GO_Biological_Process_2023	Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	7/56	5.779318767506079e-15	1.392815822968965e-12	0	0	356.0	11671.27864628973	CDKN1A;FANCD2;CHEK2;CHEK1;ATM;BRCA1;TP53	7	56	0.125	11.856106308096157	Mitotic DNA Damage Checkpoint Signaling	Mitotic DNA Damage Checkpoint Signaling
GO_Biological_Process_2023	Response To Ionizing Radiation (GO:0010212)	7/72	3.650597853142027e-14	5.865293884048191e-12	0	0	268.15384615384613	8297.028694485041	CDKN1A;RAD51;FANCD2;ATM;BRCA1;BRCA2;TP53	7	72	0.09722222222222222	11.231710222419236	Response To Ionizing Radiation	Response To Ionizing Radiation
GO_Biological_Process_2023	DNA Repair (GO:0006281)	9/291	1.1973582431808676e-13	1.4428166830329457e-11	0	0	104.80319148936172	3118.260557241096	RAD51;FANCD2;CHEK2;CHEK1;ATM;BRCA1;BRCA2;TP53;ATR	9	291	0.030927835051546393	10.840788844654714	DNA Repair	DNA Repair
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	9/384	1.4600584371823245e-12	1.407496333443761e-10	0	0	78.44	2137.68960278071	CDKN1A;RAD51;CHEK2;CHEK1;BAX;ATM;BRCA1;TP53;ATR	9	384	0.0234375	9.851552727820998	DNA Damage Response	DNA Damage Response
GO_Biological_Process_2023	Regulation Of Cell Cycle (GO:0051726)	8/298	1.299941053080997e-11	1.0442859793084011e-09	0	0	77.61576354679804	1945.5258181244467	RB1;CDKN1A;CDKN2A;CHEK1;MDM2;ATM;BRCA1;TP53	8	298	0.026845637583892617	8.981180552839552	Regulation Of Cell Cycle	Regulation Of Cell Cycle
GO_Biological_Process_2023	DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	5/36	4.1918201524682386e-11	2.8863675906995587e-09	0	0	321.83870967741933	7690.432834562435	CDKN1A;CHEK2;MDM2;ATM;TP53	5	36	0.1388888888888889	8.539648360544529	DNA Damage Response, Signal Transduction By P53 Class Mediator	"DNA Damage Response, Signal Transduction By
P53 Class Mediator"
GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway (GO:0097193)	6/105	8.725667371622377e-11	5.257214591402483e-09	0	0	133.9124579124579	3101.7027226799055	CDKN1A;CHEK2;BAX;ATM;BRCA1;TP53	6	105	0.05714285714285714	8.279244295387914	Intrinsic Apoptotic Signaling Pathway	Intrinsic Apoptotic Signaling Pathway
GO_Biological_Process_2023	Cellular Response To Radiation (GO:0071478)	5/48	1.894483662663851e-10	1.0146012504488624e-08	0	0	231.88372093023256	5191.158739236292	CDKN1A;RAD51;BRCA1;BRCA2;TP53	5	48	0.10416666666666667	7.993704606770531	Cellular Response To Radiation	Cellular Response To Radiation
GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630)	5/49	2.1088902355104528e-10	1.0164850935160385e-08	0	0	226.60227272727272	5048.628180176523	CHEK2;BAX;ATM;BRCA1;TP53	5	49	0.10204081632653061	7.9928989857924915	Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage	"Intrinsic Apoptotic Signaling Pathway In
Response To DNA Damage"
GO_Biological_Process_2023	Signal Transduction In Response To DNA Damage (GO:0042770)	5/57	4.61530372951893e-10	1.9463279960303338e-08	0	0	191.66346153846155	4120.0884740797765	CHEK2;CHEK1;ATM;TP53;ATR	5	57	0.08771929824561403	7.71078397040745	Signal Transduction In Response To DNA Damage	Signal Transduction In Response To DNA Damage
GO_Biological_Process_2023	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	4/17	4.845629865635684e-10	1.9463279960303338e-08	0	0	558.6573426573426	11981.95625547104	CDKN1A;CHEK2;MDM2;TP53	4	17	0.23529411764705882	7.71078397040745	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest	"DNA Damage Response, Signal Transduction By
P53 Class Mediator Resulting In Cell Cycle
Arrest"
GO_Biological_Process_2023	Response To Gamma Radiation (GO:0010332)	4/22	1.486076251809978e-09	5.5099134874800744e-08	0	0	403.37373737373736	8199.429018039249	FANCD2;MDM2;TP53;ATR	4	22	0.18181818181818182	7.258855220060189	Response To Gamma Radiation	Response To Gamma Radiation
GO_Biological_Process_2023	Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	4/26	3.0318576500911454e-09	1.0438252766742373e-07	0	0	329.9669421487603	6472.001405737467	CDKN1A;CHEK2;MDM2;TP53	4	26	0.15384615384615385	6.9813721907271304	Mitotic G1 DNA Damage Checkpoint Signaling	Mitotic G1 DNA Damage Checkpoint Signaling
GO_Biological_Process_2023	Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	4/30	5.548008741790622e-09	1.782760142362053e-07	0	0	279.1468531468532	5306.533318594195	CDKN1A;CHEK1;ATM;BRCA1	4	30	0.13333333333333333	6.748907084113415	Mitotic G2 DNA Damage Checkpoint Signaling	Mitotic G2 DNA Damage Checkpoint Signaling
GO_Biological_Process_2023	Regulation Of Cellular Response To Stress (GO:0080135)	5/107	1.1476449047274287e-08	3.45728027549138e-07	0	0	97.4656862745098	1781.9621022355102	RAD51;ATM;BRCA1;BRCA2;ATR	5	107	0.04672897196261682	6.461265411558174	Regulation Of Cellular Response To Stress	Regulation Of Cellular Response To Stress
GO_Biological_Process_2023	Negative Regulation Of Growth (GO:0045926)	5/124	2.4133960696249403e-08	6.728999347022328e-07	0	0	83.47058823529412	1464.0445549405906	RB1;CDKN1A;CDKN2A;BRCA1;TP53	5	124	0.04032258064516129	6.172049513841019	Negative Regulation Of Growth	Negative Regulation Of Growth
GO_Biological_Process_2023	Negative Regulation Of Cell Growth (GO:0030308)	5/125	2.5129043204647696e-08	6.728999347022328e-07	0	0	82.77083333333333	1448.426806618023	RB1;CDKN1A;CDKN2A;BRCA1;TP53	5	125	0.04	6.172049513841019	Negative Regulation Of Cell Growth	Negative Regulation Of Cell Growth
GO_Biological_Process_2023	Mitotic G2/M Transition Checkpoint (GO:0044818)	4/46	3.280497681232431e-08	7.905999411770159e-07	0	0	172.66666666666666	2975.510380436467	CDKN1A;CHEK1;ATM;BRCA1	4	46	0.08695652173913043	6.102043222305847	Mitotic G2/M Transition Checkpoint	Mitotic G2/M Transition Checkpoint
GO_Biological_Process_2023	Replication Fork Processing (GO:0031297)	4/46	3.280497681232431e-08	7.905999411770159e-07	0	0	172.66666666666666	2975.510380436467	RAD51;BRCA1;BRCA2;ATR	4	46	0.08695652173913043	6.102043222305847	Replication Fork Processing	Replication Fork Processing
GO_Biological_Process_2023	Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)	4/47	3.58408587676554e-08	8.226330440957097e-07	0	0	168.64270613107823	2891.240452235182	CHEK2;CHEK1;MDM2;ATM	4	47	0.0851063829787234	6.08479384943395	Regulation Of Signal Transduction By P53 Class Mediator	"Regulation Of Signal Transduction By P53
Class Mediator"
GO_Biological_Process_2023	Histone H2A Ubiquitination (GO:0033522)	3/11	5.6104777884129884e-08	1.175760997397852e-06	0	0	624.28125	10423.0277557371	RAD51;BRCA1;BRCA2	3	11	0.2727272727272727	5.929680950419973	Histone H2A Ubiquitination	Histone H2A Ubiquitination
GO_Biological_Process_2023	Regulation Of Cell Cycle Checkpoint (GO:1901976)	3/11	5.6104777884129884e-08	1.175760997397852e-06	0	0	624.28125	10423.0277557371	RAD51;BRCA1;BRCA2	3	11	0.2727272727272727	5.929680950419973	Regulation Of Cell Cycle Checkpoint	Regulation Of Cell Cycle Checkpoint
GO_Biological_Process_2023	Histone Monoubiquitination (GO:0010390)	3/12	7.477303779394712e-08	1.5016918423617714e-06	0	0	554.8888888888889	9105.065502265224	RAD51;BRCA1;BRCA2	3	12	0.25	5.823419178445328	Histone Monoubiquitination	Histone Monoubiquitination
GO_Biological_Process_2023	Double-Strand Break Repair (GO:0006302)	5/168	1.105215862097596e-07	2.130856182124165e-06	0	0	60.80368098159509	973.9567052385356	RAD51;CHEK2;ATM;BRCA1;BRCA2	5	168	0.02976190476190476	5.671445861134043	Double-Strand Break Repair	Double-Strand Break Repair
GO_Biological_Process_2023	Histone H2A Monoubiquitination (GO:0035518)	3/14	1.236049975217575e-07	2.291446492518735e-06	0	0	453.95454545454544	7220.680378363025	RAD51;BRCA1;BRCA2	3	14	0.21428571428571427	5.639890279494982	Histone H2A Monoubiquitination	Histone H2A Monoubiquitination
GO_Biological_Process_2023	Protein Autoubiquitination (GO:0051865)	4/71	1.931920812357409e-07	3.3256636841295395e-06	0	0	108.10312075983718	1671.2289412967928	RAD51;MDM2;BRCA1;BRCA2	4	71	0.056338028169014086	5.478121671987159	Protein Autoubiquitination	Protein Autoubiquitination
GO_Biological_Process_2023	Cellular Response To Gamma Radiation (GO:0071480)	3/16	1.89991599585238e-07	3.3256636841295395e-06	0	0	384.0769230769231	5944.084299270287	MDM2;TP53;ATR	3	16	0.1875	5.478121671987159	Cellular Response To Gamma Radiation	Cellular Response To Gamma Radiation
GO_Biological_Process_2023	Regulation Of DNA Damage Checkpoint (GO:2000001)	3/18	2.765972347443499e-07	4.597236798164712e-06	0	0	332.8333333333333	5026.017453317348	RAD51;BRCA1;BRCA2	3	18	0.16666666666666666	5.33750312568462	Regulation Of DNA Damage Checkpoint	Regulation Of DNA Damage Checkpoint
GO_Biological_Process_2023	Negative Regulation Of Cell Cycle (GO:0045786)	4/85	4.001185141322547e-07	6.428570793724892e-06	0	0	89.3557800224467	1316.345124503645	RB1;CDKN1A;CDKN2A;BRCA1	4	85	0.047058823529411764	5.191885569127192	Negative Regulation Of Cell Cycle	Negative Regulation Of Cell Cycle
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	8/1127	4.473000510839605e-07	6.954794342660288e-06	0	0	19.26822417975233	281.70213525474117	RB1;CASP8;CHEK2;MDM2;ATM;BRCA1;BRCA2;TP53	8	1127	0.00709849157054126	5.157715707824106	Regulation Of Gene Expression	Regulation Of Gene Expression
GO_Biological_Process_2023	Regulation Of Cell Growth (GO:0001558)	5/227	4.933097939990957e-07	7.43047877211138e-06	0	0	44.51126126126126	646.3982546141594	RB1;CDKN1A;CDKN2A;BRCA1;TP53	5	227	0.022026431718061675	5.12898320220347	Regulation Of Cell Growth	Regulation Of Cell Growth
