Term_clean	Adjusted P-value	minus_log10_fdr	Overlap	Hit_Count	Bg_Count	Gene_Ratio	Combined Score	Genes
Nucleus	2.580758752770521e-07	6.588252591053729	14/4487	14	4487	0.0031201248049922	896.532866322489	RB1;CDKN1A;CDKN2A;BRCA1;BRCA2;RAD51;FANCD2;CHEK2;CHEK1;MDM2;BAX;ATM;TP53;ATR
Intracellular Membrane-Bounded Organelle	9.146580295032614e-07	6.038741248730995	14/5175	14	5175	0.002705314009661836	663.8017553037835	RB1;CDKN1A;CDKN2A;BRCA1;BRCA2;RAD51;FANCD2;CHEK2;CHEK1;MDM2;BAX;ATM;TP53;ATR
Intracellular Non-Membrane-Bounded Organelle	6.3003620635409915e-06	5.200634492184555	8/1195	8	1195	0.0066945606694560665	256.5003372412306	CDKN1A;CASP8;FANCD2;MDM2;ATM;BRCA1;TP53;ATR
Chromosome	3.742351621799987e-05	4.426855409718631	4/164	4	164	0.024390243902439025	545.3115765711981	RAD51;FANCD2;BRCA1;ATR
Nuclear Lumen	5.746485529507362e-05	4.24059768257701	6/780	6	780	0.007692307692307693	186.45780288964687	CDKN1A;RAD51;FANCD2;MDM2;ATM;TP53
Condensed Chromosome	5.746485529507362e-05	4.24059768257701	3/60	3	60	0.05	994.9507939511057	RAD51;FANCD2;CHEK1
Nucleolus	0.0006622741087167664	3.178962223152165	5/771	5	771	0.00648508430609598	107.97835284705964	CDKN1A;FANCD2;MDM2;ATM;TP53
Condensed Nuclear Chromosome	0.0006622741087167664	3.178962223152165	2/28	2	28	0.07142857142857142	1008.1333830209776	RAD51;CHEK1
Nuclear Chromosome	0.0067549453646424	2.17037815928892	2/95	2	95	0.021052631578947368	200.6012831732284	RAD51;CHEK1
Mitochondrial Outer Membrane	0.0136826538838793	1.8638296588043997	2/151	2	151	0.013245033112582781	106.28835361902446	CASP8;BAX
Death-Inducing Signaling Complex	0.0136826538838793	1.8638296588043997	1/7	1	7	0.14285714285714285	1249.0776854949	CASP8
Organelle Outer Membrane	0.0157791203601748	1.8019172110993662	2/170	2	170	0.011764705882352941	90.01124440085364	CASP8;BAX
SWI/SNF Complex	0.0447326108982191	1.3493757527194128	1/29	1	29	0.034482758620689655	195.39226686727991	RB1
