Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Cellular_Component_2023	Nucleus (GO:0005634)	14/4487	9.558365751001931e-09	2.580758752770521e-07	0	0	48.550860719874805	896.532866322489	RB1;CDKN1A;CDKN2A;BRCA1;BRCA2;RAD51;FANCD2;CHEK2;CHEK1;MDM2;BAX;ATM;TP53;ATR	14	4487	0.0031201248049922	6.588252591053729	Nucleus	Nucleus
GO_Cellular_Component_2023	Intracellular Membrane-Bounded Organelle (GO:0043231)	14/5175	6.775244662987121e-08	9.146580295032614e-07	0	0	40.212361945359426	663.8017553037835	RB1;CDKN1A;CDKN2A;BRCA1;BRCA2;RAD51;FANCD2;CHEK2;CHEK1;MDM2;BAX;ATM;TP53;ATR	14	5175	0.002705314009661836	6.038741248730995	Intracellular Membrane-Bounded Organelle	Intracellular Membrane-Bounded Organelle
GO_Cellular_Component_2023	Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	8/1195	7.000402292823324e-07	6.3003620635409915e-06	0	0	18.098928872307138	256.5003372412306	CDKN1A;CASP8;FANCD2;MDM2;ATM;BRCA1;TP53;ATR	8	1195	0.0066945606694560665	5.200634492184555	Intracellular Non-Membrane-Bounded Organelle	Intracellular Non-Membrane-Bounded Organelle
GO_Cellular_Component_2023	Chromosome (GO:0005694)	4/164	5.544224624888869e-06	3.742351621799987e-05	0	0	45.05681818181818	545.3115765711981	RAD51;FANCD2;BRCA1;ATR	4	164	0.024390243902439025	4.426855409718631	Chromosome	Chromosome
GO_Cellular_Component_2023	Nuclear Lumen (GO:0031981)	6/780	1.2769967843349692e-05	5.746485529507362e-05	0	0	16.54694229112834	186.45780288964687	CDKN1A;RAD51;FANCD2;MDM2;ATM;TP53	6	780	0.007692307692307693	4.24059768257701	Nuclear Lumen	Nuclear Lumen
GO_Cellular_Component_2023	Condensed Chromosome (GO:0000793)	3/60	1.138266059678221e-05	5.746485529507362e-05	0	0	87.40350877192982	994.9507939511057	RAD51;FANCD2;CHEK1	3	60	0.05	4.24059768257701	Condensed Chromosome	Condensed Chromosome
GO_Cellular_Component_2023	Nucleolus (GO:0005730)	5/771	0.00018277491380885483	0.0006622741087167664	0	0	12.54503916449086	107.97835284705964	CDKN1A;FANCD2;MDM2;ATM;TP53	5	771	0.00648508430609598	3.178962223152165	Nucleolus	Nucleolus
GO_Cellular_Component_2023	Condensed Nuclear Chromosome (GO:0000794)	2/28	0.00019622936554570855	0.0006622741087167664	0	0	118.10059171597634	1008.1333830209776	RAD51;CHEK1	2	28	0.07142857142857142	3.178962223152165	Condensed Nuclear Chromosome	Condensed Nuclear Chromosome
GO_Cellular_Component_2023	Nuclear Chromosome (GO:0000228)	2/95	0.0022516484548808	0.0067549453646424	0	0	32.90653432588916	200.6012831732284	RAD51;CHEK1	2	95	0.021052631578947368	2.17037815928892	Nuclear Chromosome	Nuclear Chromosome
GO_Cellular_Component_2023	Mitochondrial Outer Membrane (GO:0005741)	2/151	0.0055744145452841	0.0136826538838793	0	0	20.48115642746515	106.28835361902446	CASP8;BAX	2	151	0.013245033112582781	1.8638296588043997	Mitochondrial Outer Membrane	Mitochondrial Outer Membrane
GO_Cellular_Component_2023	Death-Inducing Signaling Complex (GO:0031264)	1/7	0.0052389168941443	0.0136826538838793	0	0	237.8452380952381	1249.0776854949	CASP8	1	7	0.14285714285714285	1.8638296588043997	Death-Inducing Signaling Complex	Death-Inducing Signaling Complex
GO_Cellular_Component_2023	Organelle Outer Membrane (GO:0031968)	2/170	0.0070129423822999	0.0157791203601748	0	0	18.147435897435894	90.01124440085364	CASP8;BAX	2	170	0.011764705882352941	1.8019172110993662	Organelle Outer Membrane	Organelle Outer Membrane
GO_Cellular_Component_2023	SWI/SNF Complex (GO:0016514)	1/29	0.0215379237658092	0.0447326108982191	0	0	50.910714285714285	195.39226686727991	RB1	1	29	0.034482758620689655	1.3493757527194128	SWI/SNF Complex	SWI/SNF Complex
GO_Cellular_Component_2023	Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307)	1/40	0.0295936471887674	0.05707346243548	0	0	36.53113553113553	128.5967411966507	CDKN1A	1	40	0.025	1.243565779614884	Cyclin-Dependent Protein Kinase Holoenzyme Complex	"Cyclin-Dependent Protein Kinase Holoenzyme
Complex"
GO_Cellular_Component_2023	Heterochromatin (GO:0000792)	1/49	0.0361386092201723	0.0573966146438031	0	0	29.668154761904763	98.50994756608031	CDKN2A	1	49	0.02040816326530612	1.2411137223210769	Heterochromatin	Heterochromatin
GO_Cellular_Component_2023	Microbody Lumen (GO:0031907)	1/49	0.0361386092201723	0.0573966146438031	0	0	29.668154761904763	98.50994756608031	ATM	1	49	0.02040816326530612	1.2411137223210769	Microbody Lumen	Microbody Lumen
GO_Cellular_Component_2023	Peroxisomal Matrix (GO:0005782)	1/49	0.0361386092201723	0.0573966146438031	0	0	29.668154761904763	98.50994756608031	ATM	1	49	0.02040816326530612	1.2411137223210769	Peroxisomal Matrix	Peroxisomal Matrix
GO_Cellular_Component_2023	Serine/Threonine Protein Kinase Complex (GO:1902554)	1/60	0.0440820585634856	0.0661230878452284	0	0	24.12348668280872	75.30634662640054	CDKN1A	1	60	0.016666666666666666	1.179646873751058	Serine/Threonine Protein Kinase Complex	Serine/Threonine Protein Kinase Complex
GO_Cellular_Component_2023	Mitochondrial Membrane (GO:0031966)	2/540	0.0605845251802355	0.0817891089933179	0	0	5.561052330569059	15.59161016471955	CASP8;BAX	2	540	0.003703703703703704	1.087304522966899	Mitochondrial Membrane	Mitochondrial Membrane
GO_Cellular_Component_2023	Intermediate Filament Cytoskeleton (GO:0045111)	1/81	0.0590774399971135	0.0817891089933179	0	0	17.772321428571427	50.27622944918878	RAD51	1	81	0.012345679012345678	1.087304522966899	Intermediate Filament Cytoskeleton	Intermediate Filament Cytoskeleton
GO_Cellular_Component_2023	Peroxisome (GO:0005777)	1/129	0.0925321345681363	0.1189698873018895	0	0	11.080915178571429	26.374786485539133	ATM	1	129	0.007751937984496124	0.9245629498138214	Peroxisome	Peroxisome
GO_Cellular_Component_2023	Endocytic Vesicle Membrane (GO:0030666)	1/159	0.1128740036540262	0.1385271863026686	0	0	8.963381555153708	19.55346533005323	MDM2	1	159	0.006289308176100629	0.8584649868696144	Endocytic Vesicle Membrane	Endocytic Vesicle Membrane
GO_Cellular_Component_2023	Endocytic Vesicle (GO:0030139)	1/196	0.137376199262544	0.161267712177769	0	0	7.249084249084249	14.389665194271712	MDM2	1	196	0.00510204081632653	0.7924525751198206	Endocytic Vesicle	Endocytic Vesicle
GO_Cellular_Component_2023	Cytoplasmic Vesicle Membrane (GO:0030659)	1/389	0.2552659946992592	0.2871742440366667	0	0	3.607695139911635	4.926124302022597	MDM2	1	389	0.002570694087403599	0.5418545135047538	Cytoplasmic Vesicle Membrane	Cytoplasmic Vesicle Membrane
