Term_clean	Adjusted P-value	minus_log10_fdr	Overlap	Hit_Count	Bg_Count	Gene_Ratio	Combined Score	Genes
p53 signaling pathway	5.546382333972371e-20	19.255990196097642	10/73	10	73	0.136986301369863	30851.403507718136	CDKN1A;CASP8;CDKN2A;CHEK2;CHEK1;MDM2;BAX;ATM;TP53;ATR
Cell cycle	2.0759301795282353e-15	14.682787257353219	9/124	9	124	0.07258064516129033	9734.020428499767	RB1;CDKN1A;CDKN2A;CHEK2;CHEK1;MDM2;ATM;TP53;ATR
Cellular senescence	1.1526038579922172e-14	13.938319931083027	9/156	9	156	0.057692307692307696	7173.705548683552	RB1;CDKN1A;CDKN2A;CHEK2;CHEK1;MDM2;ATM;TP53;ATR
Human T-cell leukemia virus 1 infection	1.9274028288873598e-13	12.715027507929038	9/219	9	219	0.0410958904109589	4567.1477940143595	RB1;CDKN1A;CDKN2A;CHEK2;CHEK1;BAX;ATM;TP53;ATR
Pancreatic cancer	9.197307312773868e-13	12.036339302042705	7/76	7	76	0.09210526315789473	7715.117864040909	RB1;CDKN1A;RAD51;CDKN2A;BAX;BRCA2;TP53
Viral carcinogenesis	8.411359010768484e-12	11.075133830219295	8/203	8	203	0.03940886699507389	3265.257773976738	RB1;CDKN1A;CASP8;CDKN2A;CHEK1;MDM2;BAX;TP53
Melanoma	1.0417978349847839e-10	9.982216549432732	6/72	6	72	0.08333333333333333	5126.958276863439	RB1;CDKN1A;CDKN2A;MDM2;BAX;TP53
Glioma	1.13205899799129e-10	9.946130939018435	6/75	6	75	0.08	4854.711212290051	RB1;CDKN1A;CDKN2A;MDM2;BAX;TP53
Chronic myeloid leukemia	1.13205899799129e-10	9.946130939018435	6/76	6	76	0.07894736842105263	4769.593094167146	RB1;CDKN1A;CDKN2A;MDM2;BAX;TP53
Pathways in cancer	2.2621582090029202e-10	9.64547702500993	9/531	9	531	0.01694915254237288	1361.8282227478387	RB1;CDKN1A;RAD51;CASP8;CDKN2A;MDM2;BAX;BRCA2;TP53
Human papillomavirus infection	2.3252442966368563e-10	9.633531412190056	8/331	8	331	0.02416918429003021	1685.4382445830577	RB1;CDKN1A;CASP8;MDM2;BAX;ATM;TP53;ATR
Bladder cancer	5.89008086985476e-10	9.229878742379185	5/41	5	41	0.12195121951219512	6430.872077287275	RB1;CDKN1A;CDKN2A;MDM2;TP53
Human cytomegalovirus infection	8.094958468914876e-10	9.091785375047404	7/225	7	225	0.03111111111111111	1809.92930749756	RB1;CDKN1A;CASP8;CDKN2A;MDM2;BAX;TP53
Fanconi anemia pathway	2.1190958121322015e-09	8.673849406791039	5/54	5	54	0.09259259259259259	4429.834180604878	RAD51;FANCD2;BRCA1;BRCA2;ATR
Breast cancer	3.820493534500935e-09	8.417880530945483	6/147	6	147	0.04081632653061224	1981.3494921758584	RB1;CDKN1A;BAX;BRCA1;BRCA2;TP53
