Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
KEGG_2021_Human	p53 signaling pathway	10/73	6.525155687026317e-22	5.546382333972371e-20	0	0	632.4444444444445	30851.403507718136	CDKN1A;CASP8;CDKN2A;CHEK2;CHEK1;MDM2;BAX;ATM;TP53;ATR	10	73	0.136986301369863	19.255990196097642	p53 signaling pathway	p53 signaling pathway
KEGG_2021_Human	Cell cycle	9/124	4.8845415988899644e-17	2.0759301795282353e-15	0	0	259.17391304347825	9734.020428499767	RB1;CDKN1A;CDKN2A;CHEK2;CHEK1;MDM2;ATM;TP53;ATR	9	124	0.07258064516129033	14.682787257353219	Cell cycle	Cell cycle
KEGG_2021_Human	Cellular senescence	9/156	4.06801361644312e-16	1.1526038579922172e-14	0	0	202.42857142857144	7173.705548683552	RB1;CDKN1A;CDKN2A;CHEK2;CHEK1;MDM2;ATM;TP53;ATR	9	156	0.057692307692307696	13.938319931083027	Cellular senescence	Cellular senescence
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	9/219	9.070130959469928e-15	1.9274028288873598e-13	0	0	141.25	4567.1477940143595	RB1;CDKN1A;CDKN2A;CHEK2;CHEK1;BAX;ATM;TP53;ATR	9	219	0.0410958904109589	12.715027507929038	Human T-cell leukemia virus 1 infection	Human T-cell leukemia virus 1 infection
KEGG_2021_Human	Pancreatic cancer	7/76	5.4101807722199225e-14	9.197307312773868e-13	0	0	252.55797101449275	7715.117864040909	RB1;CDKN1A;RAD51;CDKN2A;BAX;BRCA2;TP53	7	76	0.09210526315789473	12.036339302042705	Pancreatic cancer	Pancreatic cancer
KEGG_2021_Human	Viral carcinogenesis	8/203	5.937429889954223e-13	8.411359010768484e-12	0	0	115.985347985348	3265.257773976738	RB1;CDKN1A;CASP8;CDKN2A;CHEK1;MDM2;BAX;TP53	8	203	0.03940886699507389	11.075133830219295	Viral carcinogenesis	Viral carcinogenesis
KEGG_2021_Human	Melanoma	6/72	8.579511582227634e-12	1.0417978349847839e-10	0	0	201.2020202020202	5126.958276863439	RB1;CDKN1A;CDKN2A;MDM2;BAX;TP53	6	72	0.08333333333333333	9.982216549432732	Melanoma	Melanoma
KEGG_2021_Human	Glioma	6/75	1.104445401563753e-11	1.13205899799129e-10	0	0	192.42512077294683	4854.711212290051	RB1;CDKN1A;CDKN2A;MDM2;BAX;TP53	6	75	0.08	9.946130939018435	Glioma	Glioma
KEGG_2021_Human	Chronic myeloid leukemia	6/76	1.1986507037554835e-11	1.13205899799129e-10	0	0	189.66666666666663	4769.593094167146	RB1;CDKN1A;CDKN2A;MDM2;BAX;TP53	6	76	0.07894736842105263	9.946130939018435	Chronic myeloid leukemia	Chronic myeloid leukemia
KEGG_2021_Human	Pathways in cancer	9/531	2.6613625988269653e-11	2.2621582090029202e-10	0	0	55.92816091954023	1361.8282227478387	RB1;CDKN1A;RAD51;CASP8;CDKN2A;MDM2;BAX;BRCA2;TP53	9	531	0.01694915254237288	9.64547702500993	Pathways in cancer	Pathways in cancer
