Term_clean	Adjusted P-value	minus_log10_fdr	Overlap	Hit_Count	Bg_Count	Gene_Ratio	Combined Score	Genes
Ubiquitin Protein Ligase Binding	2.4240732324599277e-08	7.615454264054916	7/271	7	271	0.025830258302583026	1405.980453942978	RB1;CDKN1A;CASP8;CHEK2;MDM2;BRCA1;TP53
Ubiquitin-Like Protein Ligase Binding	2.4240732324599277e-08	7.615454264054916	7/289	7	289	0.02422145328719723	1287.604534029697	RB1;CDKN1A;CASP8;CHEK2;MDM2;BRCA1;TP53
Disordered Domain Specific Binding	1.357659564615391e-05	4.867209116465052	3/23	3	23	0.13043478260869565	3575.746117515789	RB1;MDM2;TP53
Protein Serine/Threonine Kinase Activity	0.0013435562423246	2.871744148940544	4/342	4	342	0.011695906432748537	194.93766211208137	CHEK2;CHEK1;ATM;ATR
DNA Polymerase Binding	0.0013435562423246	2.871744148940544	2/19	2	19	0.10526315789473684	1685.1842294846974	RAD51;FANCD2
Protein Serine/Threonine Kinase Inhibitor Activity	0.002913129539846	2.5356402029145753	2/32	2	32	0.0625	845.9155331637611	CDKN1A;CDKN2A
Kinase Binding	0.002994071501639	2.5237378324510575	4/460	4	460	0.008695652173913044	125.90627660482023	RB1;CDKN1A;CDKN2A;CHEK2
Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity	0.0045315643317773	2.3437518502208396	2/46	2	46	0.043478260869565216	525.490965769041	CDKN1A;CDKN2A
Single-Stranded DNA Binding	0.0173669065253683	1.7602775332287062	2/96	2	96	0.020833333333333332	197.78594479007495	RAD51;BRCA2
DNA Binding	0.0203021032631726	1.6924589675905786	4/846	4	846	0.004728132387706856	48.06586480853073	RAD51;BRCA1;BRCA2;TP53
Protease Binding	0.02384850743736	1.6225387961627453	2/125	2	125	0.016	138.06875095168758	BRCA2;TP53
NEDD8 Transferase Activity	0.0254550542282156	1.5942259734257114	1/6	1	6	0.16666666666666666	1542.8675927558304	MDM2
Transcription Cis-Regulatory Region Binding	0.0254593658977836	1.594152417277924	3/474	3	474	0.006329113924050633	55.1573975813636	RB1;BRCA1;TP53
Protein Kinase Binding	0.0271996684424481	1.5654363898809793	3/511	3	511	0.005870841487279843	49.03764163640537	CDKN1A;CDKN2A;CHEK2
5S rRNA Binding	0.0271996684424481	1.5654363898809793	1/8	1	8	0.125	1043.434298452164	MDM2
