Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Binding (GO:0031625)	7/271	4.5519831436287864e-10	2.4240732324599277e-08	0	0	65.36316287878788	1405.980453942978	RB1;CDKN1A;CASP8;CHEK2;MDM2;BRCA1;TP53	7	271	0.025830258302583026	7.615454264054916	Ubiquitin Protein Ligase Binding	Ubiquitin Protein Ligase Binding
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	7/289	7.129627154293905e-10	2.4240732324599277e-08	0	0	61.135195035460995	1287.604534029697	RB1;CDKN1A;CASP8;CHEK2;MDM2;BRCA1;TP53	7	289	0.02422145328719723	7.615454264054916	Ubiquitin-Like Protein Ligase Binding	Ubiquitin-Like Protein Ligase Binding
GO_Molecular_Function_2023	Disordered Domain Specific Binding (GO:0097718)	3/23	5.989674549773783e-07	1.357659564615391e-05	0	0	249.5625	3575.746117515789	RB1;MDM2;TP53	3	23	0.13043478260869565	4.867209116465052	Disordered Domain Specific Binding	Disordered Domain Specific Binding
GO_Molecular_Function_2023	Protein Serine/Threonine Kinase Activity (GO:0004674)	4/342	9.879090017092686e-05	0.0013435562423246	0	0	21.137170521785908	194.93766211208137	CHEK2;CHEK1;ATM;ATR	4	342	0.011695906432748537	2.871744148940544	Protein Serine/Threonine Kinase Activity	Protein Serine/Threonine Kinase Activity
GO_Molecular_Function_2023	DNA Polymerase Binding (GO:0070182)	2/19	8.911670367707504e-05	0.0013435562423246	0	0	180.7058823529412	1685.1842294846974	RAD51;FANCD2	2	19	0.10526315789473684	2.871744148940544	DNA Polymerase Binding	DNA Polymerase Binding
GO_Molecular_Function_2023	Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291)	2/32	0.00025704084175112637	0.002913129539846	0	0	102.33333333333331	845.9155331637611	CDKN1A;CDKN2A	2	32	0.0625	2.5356402029145753	Protein Serine/Threonine Kinase Inhibitor Activity	"Protein Serine/Threonine Kinase Inhibitor
Activity"
GO_Molecular_Function_2023	Kinase Binding (GO:0019900)	4/460	0.0003082132428157843	0.002994071501639	0	0	15.573365231259968	125.90627660482023	RB1;CDKN1A;CDKN2A;CHEK2	4	460	0.008695652173913044	2.5237378324510575	Kinase Binding	Kinase Binding
GO_Molecular_Function_2023	Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	2/46	0.0005331252155032125	0.0045315643317773	0	0	69.72377622377623	525.490965769041	CDKN1A;CDKN2A	2	46	0.043478260869565216	2.3437518502208396	Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity	"Cyclin-Dependent Protein Serine/Threonine
Kinase Regulator Activity"
GO_Molecular_Function_2023	Single-Stranded DNA Binding (GO:0003697)	2/96	0.0022985611577693	0.0173669065253683	0	0	32.55482815057283	197.78594479007495	RAD51;BRCA2	2	96	0.020833333333333332	1.7602775332287062	Single-Stranded DNA Binding	Single-Stranded DNA Binding
GO_Molecular_Function_2023	DNA Binding (GO:0003677)	4/846	0.0029856034210548	0.0203021032631726	0	0	8.267328870654286	48.06586480853073	RAD51;BRCA1;BRCA2;TP53	4	846	0.004728132387706856	1.6924589675905786	DNA Binding	DNA Binding
GO_Molecular_Function_2023	Protease Binding (GO:0002020)	2/125	0.0038578467913376	0.02384850743736	0	0	24.84302689180738	138.06875095168758	BRCA2;TP53	2	125	0.016	1.6225387961627453	Protease Binding	Protease Binding
